No,학년,이수구분,학수번호,교과목명,학점,이론시간,실습시간,교양영역,강의시간(강의실),분반,담당교수,비고
194,전체,교선,HBLD5083,건강수영,2,0.0,2.0,,"일반(체육과무용) 수7,8(K101)",1,이희화,nan
195,전체,교선,HBLE5026,대화와인간관계,3,3.0,0.0,,"일반(언어와문화) 목1,2,3(I306)",1,전정미,nan
196,전체,교선,HBLF0002,상상과창조,3,3.0,0.0,,"일반(인간과사회) 토9,10,11(Z101)",1,김일림,한양대학교 학점인정 컨소시엄 E-러닝 교과목/3~4학년만 수강 가능
197,전체,교선,HBLF0013,문화콘텐츠스토리텔링전략,3,3.0,0.0,,"일반(언어와문화) 토13,14,15(Z101)",1,김일림,한양대학교 학점인정 컨소시엄 E-러닝 교과목/3~4학년만 수강 가능
198,전체,교선,HBLF0017,문화기술과사회변동,3,3.0,0.0,,"일반(인간과사회) 일0,1,2(Z101)",1,김일림,한양대학교 학점인정 컨소시엄 E-러닝 교과목/3~4학년만 수강 가능
199,전체,교선,HBLF0018,문화콘텐츠마케팅전략의수립과 집행,3,3.0,0.0,,"일반(언어와문화) 일3,4,5(Z101)",1,김일림,한양대학교 학점인정 컨소시엄 E-러닝 교과목/3~4학년만 수강 가능
200,전체,교선,HBLF0024,기업경영과비즈니스전략,3,3.0,0.0,,"일반(인간과사회) 토6,7,8(Z101)",1,김일림,한양대학교 학점인정 컨소시엄 E-러닝 교과목/3~4학년만 수강 가능
201,전체,교선,HBLF0026,색채심리와현대생활,3,3.0,0.0,,일반(예술과디자인),"일6,7,8(Z101)",1,김일림 한양대학교 학점인정 컨소시엄 E-러닝 교과목/3~4학년만 수강 가능
202,전체,교선,HBLF0027,21세기기업의인재상,3,3.0,0.0,,"일반(인간과사회) 일9,10,11(Z101)",1,김일림,한양대학교 학점인정 컨소시엄 E-러닝 교과목/3~4학년만 수강 가능
203,전체,교선,HBLF7807,인문학특강,1,1.5,0.0,,일반(인성과리더십),수F(I311),1,서은아
204,전체,교선,HBLF7809,채움과비움:나이듦의인문학적이 해,3,3.0,0.0,,일반(인성과리더십),"금13,14,15(Z101)",1,김일림 한양대학교 학점인정 컨소시엄 E-러닝 교과목/3~4학년만 수강 가능
205,전체,교선,HBLF7811,비즈니스모델디자인과린스타트 업활동,3,3.0,0.0,,일반(커리어디자인),"목13,14,15(Z101)",1,김일림 한양대학교 학점인정 컨소시엄 E-러닝 교과목/3~4학년만 수강 가능
206,전체,교선,HBLF7818,현대미술사와이론,3,3.0,0.0,균형(예술),"수7,8,9(Z101)",1,오경은,E-러닝 교과목/3~4학년만 수강 가능
